,Departament,Cdig,Tama,Robo,Intento_robo,Extorsión,Estafa o fraude,Daños,Amenazas,Secuestros,Final
58,APURÍMAC,4530,PEQUEÑA,0,0,0,0,0,0,0,Nin
59,APURÍMAC,4759,PEQUEÑA,1,0,0,1,0,0,0,Rob_Est
60,APURÍMAC,1079,PEQUEÑA,0,0,0,0,0,0,0,Nin
61,APURÍMAC,7110,PEQUEÑA,0,0,0,0,0,0,0,Nin
62,AREQUIPA,4771,MICRO,0,0,0,0,0,0,0,Nin
63,AREQUIPA,7110,PEQUEÑA,0,0,0,0,0,0,0,Nin
64,AREQUIPA,4510,GRANDE,0,0,0,0,0,0,0,Nin
65,AREQUIPA,9312,GRANDE,0,0,0,0,0,0,0,Nin
66,AREQUIPA,8521,MEDIANA,0,0,0,0,0,0,0,Nin
67,AREQUIPA,2511,PEQUEÑA,0,0,0,0,0,0,0,Nin
68,AREQUIPA,4799,PEQUEÑA,1,1,0,0,0,0,0,Rob_Int
69,AREQUIPA,4630,GRANDE,0,0,0,0,0,0,0,Nin
70,AREQUIPA,8530,PEQUEÑA,0,0,0,0,0,0,0,Nin
71,AREQUIPA,4730,PEQUEÑA,1,0,0,0,0,0,0,Rob
72,AREQUIPA,1410,GRANDE,0,0,0,0,0,0,0,Nin
73,AREQUIPA,4312,GRANDE,0,0,0,0,0,0,0,Nin
74,AREQUIPA,4730,GRANDE,0,0,0,0,0,0,0,Nin
75,AREQUIPA,6810,PEQUEÑA,0,0,0,0,0,0,0,Nin
76,AREQUIPA,7911,GRANDE,0,0,0,0,0,0,0,Nin
77,AREQUIPA,5610,MEDIANA,0,0,0,0,0,0,0,Nin
78,AREQUIPA,3510,GRANDE,0,0,0,0,0,0,0,Nin
79,AREQUIPA,4329,MEDIANA,0,0,0,0,0,0,0,Nin
80,AREQUIPA,6190,PEQUEÑA,1,0,0,0,0,0,0,Rob
81,AREQUIPA,8530,PEQUEÑA,0,0,0,0,0,0,0,Nin
82,AREQUIPA,9609,PEQUEÑA,0,0,0,0,0,0,0,Nin
83,AREQUIPA,8690,MEDIANA,1,1,0,0,0,0,0,Rob_Int
84,AREQUIPA,4100,PEQUEÑA,0,0,0,0,0,0,0,Nin
85,AREQUIPA,1010,MEDIANA,0,0,0,0,0,0,0,Nin
86,AREQUIPA,8299,PEQUEÑA,0,1,0,0,0,0,0,int
87,AREQUIPA,8299,GRANDE,0,0,0,0,0,0,0,Nin
88,AREQUIPA,6209,GRANDE,0,0,0,0,0,0,0,Nin
89,AREQUIPA,4620,GRANDE,0,0,0,0,0,0,0,Nin
90,AREQUIPA,4730,MEDIANA,0,0,0,0,0,0,0,Nin
91,AREQUIPA,2011,GRANDE,0,0,0,0,1,0,0,Dan
92,AREQUIPA,4730,MEDIANA,0,0,0,0,0,0,0,Nin
93,AREQUIPA,4530,PEQUEÑA,0,0,0,0,0,0,0,Nin
94,AREQUIPA,4921,MICRO,0,0,0,0,0,0,0,Nin
95,AREQUIPA,4923,GRANDE,0,0,0,0,0,0,0,Nin
96,AREQUIPA,4923,PEQUEÑA,0,0,0,0,0,0,0,Nin
97,AREQUIPA,4630,GRANDE,0,0,0,0,0,0,0,Nin
98,AREQUIPA,4661,PEQUEÑA,0,0,0,0,0,0,0,Nin
99,AREQUIPA,5610,PEQUEÑA,0,0,0,0,0,0,0,Nin
100,AREQUIPA,899,PEQUEÑA,0,0,0,0,0,0,0,Nin
101,AREQUIPA,8010,PEQUEÑA,0,0,0,0,0,0,0,Nin
102,AREQUIPA,4923,MEDIANA,1,1,0,0,0,0,0,Rob_Int
103,AREQUIPA,4630,GRANDE,0,0,0,0,0,0,0,Nin
104,AREQUIPA,4100,PEQUEÑA,0,0,0,0,0,0,0,Nin
105,AREQUIPA,4690,GRANDE,0,0,0,0,0,0,0,Nin
106,AREQUIPA,1811,PEQUEÑA,0,0,0,0,0,0,0,Nin
107,AREQUIPA,4100,MICRO,0,0,0,0,0,0,0,Nin
108,AREQUIPA,899,MICRO,0,0,0,0,0,0,0,Nin
109,AREQUIPA,4321,GRANDE,1,0,0,0,0,0,0,Rob
110,AREQUIPA,5320,GRANDE,0,0,0,0,0,0,0,Nin
111,AREQUIPA,6629,PEQUEÑA,0,0,0,0,0,0,0,Nin
112,AREQUIPA,4923,MEDIANA,1,0,0,0,0,0,0,Rob
113,AREQUIPA,4923,PEQUEÑA,0,1,0,0,0,0,0,int
114,AREQUIPA,4923,GRANDE,1,1,0,0,0,0,0,Rob_Int
115,AREQUIPA,4923,GRANDE,0,0,0,0,0,0,0,Nin
116,AREQUIPA,4620,GRANDE,0,0,0,0,0,0,0,Nin
117,AREQUIPA,2819,MEDIANA,0,0,0,0,0,0,0,Nin
118,AREQUIPA,4730,MEDIANA,1,0,0,0,0,0,0,Rob
119,AREQUIPA,4663,MEDIANA,0,0,0,0,0,0,0,Nin
120,AREQUIPA,8620,PEQUEÑA,1,0,0,0,0,0,0,Rob
121,AYACUCHO,4663,PEQUEÑA,0,1,0,0,0,0,0,int
122,AYACUCHO,4641,PEQUEÑA,0,0,0,0,0,0,0,Nin
123,AYACUCHO,4630,PEQUEÑA,0,0,0,1,1,0,0,Est_Dan
124,AYACUCHO,1410,PEQUEÑA,0,0,0,0,0,0,0,Nin
125,AYACUCHO,4923,PEQUEÑA,0,0,0,1,0,0,0,Est
126,AYACUCHO,4923,PEQUEÑA,0,0,0,0,0,0,0,Nin
127,AYACUCHO,9609,PEQUEÑA,0,0,0,0,0,0,0,Nin
128,AYACUCHO,8121,PEQUEÑA,0,0,0,0,0,0,0,Nin
129,AYACUCHO,4100,MICRO,0,0,0,0,0,0,0,Nin
130,AYACUCHO,5610,MICRO,0,0,0,0,0,0,0,Nin
131,AYACUCHO,6209,PEQUEÑA,1,0,0,0,0,0,0,Rob
132,AYACUCHO,4669,MICRO,0,0,0,0,0,0,0,Nin
133,AYACUCHO,8521,PEQUEÑA,0,0,0,0,0,0,0,Nin
134,AYACUCHO,7110,PEQUEÑA,0,0,0,0,0,0,0,Nin
135,AYACUCHO,4721,PEQUEÑA,0,0,0,0,0,0,0,Nin
136,AYACUCHO,5610,PEQUEÑA,0,0,0,0,0,0,0,Nin
137,AYACUCHO,3100,MICRO,0,0,0,0,0,0,0,Nin
138,AYACUCHO,4923,MICRO,0,0,0,0,0,0,0,Nin
139,AYACUCHO,4100,PEQUEÑA,1,0,0,0,0,0,0,Rob
140,AYACUCHO,4210,PEQUEÑA,1,0,0,1,0,0,0,Rob_Est
141,AYACUCHO,4630,PEQUEÑA,0,0,0,0,0,0,0,Nin
142,AYACUCHO,4730,MEDIANA,1,0,0,0,0,0,0,Rob
143,AYACUCHO,4663,GRANDE,0,0,0,0,0,0,0,Nin
144,CAJAMARCA,4100,PEQUEÑA,1,1,0,0,0,0,0,Rob_Int
145,CAJAMARCA,4630,GRANDE,0,0,0,0,0,0,0,Nin
146,CAJAMARCA,8549,PEQUEÑA,0,0,0,0,0,0,0,Nin
147,CAJAMARCA,1629,PEQUEÑA,0,0,0,0,0,0,0,Nin
148,CAJAMARCA,9200,GRANDE,0,0,0,0,0,0,0,Nin
149,CAJAMARCA,2511,PEQUEÑA,0,0,0,0,0,0,0,Nin
150,CAJAMARCA,4620,PEQUEÑA,0,0,0,1,0,0,0,Est
151,CAJAMARCA,8510,MICRO,0,0,0,0,0,0,0,Nin
152,CAJAMARCA,4661,GRANDE,0,0,0,0,0,0,0,Nin
153,CAJAMARCA,7730,PEQUEÑA,0,0,0,0,0,0,0,Nin
154,CAJAMARCA,4100,GRANDE,0,0,0,0,0,0,0,Nin
155,CAJAMARCA,7730,PEQUEÑA,0,0,0,0,0,1,0,Ame
156,CAJAMARCA,7730,PEQUEÑA,0,0,0,0,0,0,0,Nin
157,CAJAMARCA,4530,PEQUEÑA,0,0,0,0,0,0,0,Nin
158,CAJAMARCA,4540,MICRO,1,0,0,0,0,0,0,Rob
159,CAJAMARCA,4661,MICRO,0,0,0,1,0,0,0,Est
160,CAJAMARCA,4390,PEQUEÑA,0,1,0,0,0,0,0,int
161,CAJAMARCA,4923,PEQUEÑA,0,0,0,0,0,0,0,Nin
162,CAJAMARCA,4923,MEDIANA,0,0,0,1,0,0,0,Est
163,CAJAMARCA,7110,PEQUEÑA,0,1,0,0,0,0,0,int
164,CAJAMARCA,5610,PEQUEÑA,1,0,0,0,0,0,0,Rob
165,CAJAMARCA,4620,GRANDE,0,0,0,0,0,0,0,Nin
166,CAJAMARCA,6190,PEQUEÑA,0,0,0,1,0,0,0,Est
167,CAJAMARCA,4923,PEQUEÑA,0,0,0,0,0,0,0,Nin
168,CAJAMARCA,4630,GRANDE,0,0,0,0,0,0,0,Nin
169,CAJAMARCA,4663,PEQUEÑA,1,0,0,1,0,0,0,Rob_Est
170,CAJAMARCA,4100,PEQUEÑA,0,0,0,0,0,0,0,Nin
171,CAJAMARCA,4510,MEDIANA,0,0,0,0,0,0,0,Nin
172,CAJAMARCA,4759,PEQUEÑA,0,0,0,1,0,0,0,Est
173,CAJAMARCA,6810,PEQUEÑA,0,0,0,0,0,0,0,Nin
174,CAJAMARCA,5610,PEQUEÑA,0,0,0,0,0,0,0,Nin
175,CAJAMARCA,4923,MICRO,1,0,1,0,0,0,0,Rob_Ext
176,CAJAMARCA,4661,PEQUEÑA,1,0,0,0,0,0,0,Rob
177,CALLAO,5320,GRANDE,0,0,0,0,0,0,0,Nin
178,CALLAO,6190,PEQUEÑA,0,0,0,0,0,0,0,Nin
179,CALLAO,2511,PEQUEÑA,0,0,0,0,0,0,0,Nin
180,CALLAO,7120,GRANDE,0,0,0,0,0,0,0,Nin
181,CALLAO,2011,GRANDE,0,0,0,0,1,0,0,Dan
182,CALLAO,7020,PEQUEÑA,0,0,0,0,0,0,0,Nin
183,CALLAO,2511,GRANDE,0,0,0,0,0,0,0,Nin
184,CALLAO,510,PEQUEÑA,0,0,0,0,0,0,0,Nin
185,CALLAO,5224,MEDIANA,0,0,0,0,0,0,0,Nin
186,CALLAO,4799,PEQUEÑA,0,0,0,0,0,0,0,Nin
187,CALLAO,4669,GRANDE,0,0,0,0,0,0,0,Nin
188,CALLAO,4322,MICRO,0,0,0,0,0,0,0,Nin
189,CALLAO,5110,GRANDE,0,0,0,0,0,0,0,Nin
190,CALLAO,5210,GRANDE,0,0,1,0,0,1,0,Ext_Ame
191,CALLAO,4921,PEQUEÑA,0,0,0,0,0,0,0,Nin
192,CALLAO,4923,MEDIANA,0,0,0,0,0,0,0,Nin
193,CALLAO,5120,PEQUEÑA,0,0,0,0,0,0,0,Nin
194,CALLAO,4540,GRANDE,0,0,0,0,0,0,0,Nin
195,CALLAO,4690,GRANDE,0,0,0,0,0,0,0,Nin
196,CALLAO,5110,GRANDE,0,0,0,0,0,0,0,Nin
197,CALLAO,5610,MICRO,0,0,0,0,0,0,0,Nin
198,CALLAO,5229,PEQUEÑA,0,0,0,0,1,0,0,Dan
199,CALLAO,9609,PEQUEÑA,0,0,0,0,0,0,0,Nin
200,CALLAO,5210,GRANDE,0,0,0,0,0,0,0,Nin
201,CALLAO,4630,PEQUEÑA,0,0,0,0,0,0,0,Nin
202,CALLAO,2816,MEDIANA,0,0,0,0,0,0,0,Nin
203,CALLAO,4630,MEDIANA,0,0,0,0,0,0,0,Nin
204,CALLAO,3830,PEQUEÑA,0,0,0,0,0,0,0,Nin
205,CALLAO,4719,MICRO,0,0,0,1,0,0,0,Est
206,CALLAO,4520,PEQUEÑA,0,0,0,0,0,0,0,Nin
207,CALLAO,1811,MICRO,0,0,0,0,0,0,0,Nin
208,CALLAO,1010,PEQUEÑA,0,0,0,0,0,0,0,Nin
209,CALLAO,4540,GRANDE,0,0,0,0,0,0,0,Nin
210,CALLAO,4210,GRANDE,0,0,0,0,0,0,0,Nin
211,CALLAO,8299,GRANDE,0,0,0,0,0,0,0,Nin
212,CALLAO,5229,PEQUEÑA,0,1,0,0,0,0,0,int
213,CALLAO,5120,GRANDE,0,0,0,0,0,0,0,Nin
214,CALLAO,8299,PEQUEÑA,0,0,0,0,0,0,0,Nin
215,CALLAO,5110,GRANDE,0,0,0,0,0,0,0,Nin
216,CALLAO,2220,GRANDE,0,0,0,0,0,0,0,Nin
217,CALLAO,311,PEQUEÑA,1,0,0,0,0,0,0,Rob
218,CALLAO,6499,PEQUEÑA,0,1,0,0,0,0,0,int
219,CALLAO,9312,PEQUEÑA,1,0,0,0,0,1,0,Rob_Ame
220,CALLAO,4773,GRANDE,0,1,0,1,0,0,0,Int_Est
221,CALLAO,4690,MEDIANA,1,1,0,0,0,1,0,Rob_Int_Ame
222,CALLAO,5320,MICRO,0,0,0,0,0,0,0,Nin
223,CALLAO,4663,PEQUEÑA,0,0,0,0,1,0,0,Dan
224,CALLAO,4690,GRANDE,0,0,0,0,0,0,0,Nin
225,CALLAO,2399,GRANDE,0,0,0,0,0,0,0,Nin
226,CALLAO,8510,MICRO,0,0,0,0,0,0,0,Nin
227,CALLAO,4100,PEQUEÑA,0,0,0,1,0,0,0,Est
228,CALLAO,1030,GRANDE,0,0,0,0,0,0,0,Nin
229,CALLAO,4630,MEDIANA,0,1,0,0,0,0,0,int
230,CALLAO,8010,MEDIANA,0,0,0,0,0,0,0,Nin
231,CALLAO,7020,PEQUEÑA,0,0,0,0,0,0,0,Nin
232,CALLAO,4690,PEQUEÑA,0,0,0,0,0,0,0,Nin
233,CALLAO,5229,MEDIANA,0,0,0,0,0,0,0,Nin
234,CALLAO,4100,PEQUEÑA,0,0,0,0,0,0,0,Nin
235,CALLAO,5210,GRANDE,1,0,0,0,0,0,0,Rob
236,CALLAO,1079,MEDIANA,0,0,0,0,0,0,0,Nin
237,CALLAO,4630,MICRO,1,1,0,0,0,0,0,Rob_Int
238,CALLAO,4390,MEDIANA,0,1,0,0,0,0,0,int
239,CUSCO,6190,PEQUEÑA,0,0,0,0,0,0,0,Nin
240,CUSCO,7110,PEQUEÑA,0,0,0,0,0,0,0,Nin
241,CUSCO,4649,GRANDE,0,0,0,0,0,0,0,Nin
242,CUSCO,4100,PEQUEÑA,0,0,0,1,0,1,0,Est_Ame
243,CUSCO,7912,PEQUEÑA,0,0,0,0,0,0,0,Nin
244,CUSCO,5510,PEQUEÑA,0,1,0,0,0,0,0,int
245,CUSCO,9312,PEQUEÑA,0,0,0,1,0,1,0,Est_Ame
246,CUSCO,4630,PEQUEÑA,0,0,1,0,0,0,0,Ext
247,CUSCO,5510,PEQUEÑA,1,0,0,1,0,0,0,Rob_Est
248,CUSCO,4510,MEDIANA,0,0,0,0,0,0,0,Nin
249,CUSCO,4721,GRANDE,0,0,0,0,0,0,0,Nin
250,CUSCO,4661,PEQUEÑA,1,0,0,1,0,0,0,Rob_Est
251,CUSCO,4923,PEQUEÑA,0,0,0,0,0,0,0,Nin
252,CUSCO,5110,PEQUEÑA,0,0,0,1,0,0,0,Est
253,CUSCO,4923,PEQUEÑA,0,0,0,0,0,0,0,Nin
254,CUSCO,7110,PEQUEÑA,0,0,0,0,0,0,0,Nin
255,CUSCO,2511,PEQUEÑA,0,0,0,0,0,0,0,Nin
256,CUSCO,5610,MICRO,0,0,0,0,0,0,0,Nin
257,CUSCO,9609,PEQUEÑA,0,0,0,0,0,0,0,Nin
258,CUSCO,4659,PEQUEÑA,0,0,0,0,0,0,0,Nin
259,CUSCO,5210,GRANDE,0,0,0,0,0,0,0,Nin
260,CUSCO,6209,PEQUEÑA,0,0,0,0,0,0,0,Nin
261,CUSCO,4923,MICRO,0,0,0,0,0,0,0,Nin
262,CUSCO,4661,PEQUEÑA,0,0,0,0,0,0,0,Nin
263,CUSCO,6810,PEQUEÑA,0,0,0,0,0,0,0,Nin
264,CUSCO,5510,PEQUEÑA,0,0,0,0,0,0,0,Nin
265,CUSCO,1071,PEQUEÑA,1,0,0,0,0,0,0,Rob
266,CUSCO,1061,PEQUEÑA,0,0,0,0,0,0,0,Nin
267,CUSCO,8522,PEQUEÑA,0,0,0,0,0,0,0,Nin
268,CUSCO,4510,GRANDE,0,0,0,0,0,0,0,Nin
269,CUSCO,4923,PEQUEÑA,0,0,0,0,0,0,0,Nin
270,CUSCO,4100,MEDIANA,0,0,0,0,0,0,0,Nin
271,CUSCO,8521,MICRO,0,0,0,0,0,0,0,Nin
272,CUSCO,4661,MEDIANA,0,0,0,0,0,0,0,Nin
273,HUANCAVELICA,7110,MICRO,0,0,0,0,0,0,0,Nin
274,HUANCAVELICA,5610,PEQUEÑA,1,0,0,1,0,0,0,Rob_Est
275,HUANCAVELICA,3600,PEQUEÑA,0,0,0,0,0,0,0,Nin
276,HUANCAVELICA,4741,PEQUEÑA,0,0,0,0,0,0,0,Nin
277,HUANCAVELICA,4100,PEQUEÑA,0,0,0,1,1,0,0,Est_Dan
278,HUANCAVELICA,4690,PEQUEÑA,1,0,0,1,0,0,0,Rob_Est
279,HUANCAVELICA,4100,MICRO,0,0,0,0,0,0,0,Nin
280,HUANCAVELICA,6190,PEQUEÑA,0,0,0,0,0,0,0,Nin
281,HUANCAVELICA,4630,MICRO,0,0,0,0,0,0,0,Nin
282,HUANCAVELICA,1811,MICRO,0,0,0,0,0,0,0,Nin
283,HUANCAVELICA,1811,MICRO,0,0,0,1,1,0,0,Est_Dan
284,HUÁNUCO,4390,PEQUEÑA,0,0,0,0,0,0,0,Nin
285,HUÁNUCO,4721,PEQUEÑA,0,0,0,0,0,0,0,Nin
286,HUÁNUCO,4100,PEQUEÑA,0,0,0,0,0,0,0,Nin
287,HUÁNUCO,4730,PEQUEÑA,0,0,0,0,0,0,0,Nin
288,HUÁNUCO,4721,PEQUEÑA,1,0,0,0,0,0,0,Rob
289,HUÁNUCO,4690,GRANDE,1,0,1,0,0,0,0,Rob_Ext
290,HUÁNUCO,8299,PEQUEÑA,0,0,0,0,0,0,0,Nin
291,HUÁNUCO,4730,PEQUEÑA,1,0,0,0,0,1,0,Rob_Ame
292,HUÁNUCO,7110,PEQUEÑA,1,0,0,0,0,0,0,Rob
293,HUÁNUCO,8510,PEQUEÑA,0,1,0,0,0,0,0,int
294,HUÁNUCO,4100,PEQUEÑA,0,0,0,0,0,0,0,Nin
295,HUÁNUCO,4100,GRANDE,0,0,0,0,0,0,0,Nin
296,HUÁNUCO,4100,PEQUEÑA,0,0,0,0,0,0,0,Nin
297,HUÁNUCO,4510,GRANDE,0,0,0,0,0,0,0,Nin
298,HUÁNUCO,6910,PEQUEÑA,0,0,0,0,0,0,0,Nin
299,HUÁNUCO,1610,PEQUEÑA,0,0,0,0,0,0,0,Nin
300,HUÁNUCO,1622,MICRO,0,0,0,0,0,0,0,Nin
301,HUÁNUCO,5610,PEQUEÑA,0,0,0,0,0,0,0,Nin
302,HUÁNUCO,4730,PEQUEÑA,0,0,0,0,0,0,0,Nin
303,HUÁNUCO,4752,MICRO,1,0,0,0,0,0,0,Rob
304,HUÁNUCO,4752,PEQUEÑA,0,0,0,0,0,0,0,Nin
305,HUÁNUCO,4923,PEQUEÑA,0,0,0,0,0,0,0,Nin
306,HUÁNUCO,3510,MICRO,0,0,0,0,0,0,0,Nin
307,HUÁNUCO,4663,PEQUEÑA,0,0,0,0,0,0,0,Nin
308,HUÁNUCO,4663,PEQUEÑA,0,0,0,0,0,0,0,Nin
309,HUÁNUCO,5610,MICRO,0,0,0,0,0,0,0,Nin
310,ICA,4630,GRANDE,1,0,0,0,0,0,0,Rob
311,ICA,729,PEQUEÑA,0,0,0,0,0,0,0,Nin
312,ICA,1030,GRANDE,0,0,0,0,0,0,0,Nin
313,ICA,311,MICRO,0,0,0,0,0,0,0,Nin
314,ICA,8610,PEQUEÑA,1,0,0,0,0,0,0,Rob
315,ICA,4799,PEQUEÑA,0,0,0,0,0,0,0,Nin
316,ICA,6499,GRANDE,0,0,0,1,0,0,0,Est
317,ICA,9411,PEQUEÑA,1,0,0,0,0,0,0,Rob
318,ICA,8521,PEQUEÑA,0,1,0,0,0,0,0,int
319,ICA,4923,PEQUEÑA,1,0,0,0,0,0,0,Rob
320,ICA,4690,PEQUEÑA,0,0,0,0,0,0,0,Nin
321,ICA,4100,PEQUEÑA,0,0,0,0,0,0,0,Nin
322,ICA,9200,MEDIANA,0,0,0,0,0,0,0,Nin
323,ICA,7730,PEQUEÑA,0,0,0,0,0,0,0,Nin
324,ICA,5510,PEQUEÑA,0,0,0,0,0,0,0,Nin
325,ICA,7110,PEQUEÑA,0,0,0,0,0,0,0,Nin
326,ICA,5510,PEQUEÑA,0,0,0,0,0,0,0,Nin
327,ICA,2012,MICRO,0,0,0,0,0,0,0,Nin
328,ICA,4719,PEQUEÑA,0,0,1,0,0,0,0,Ext
329,ICA,3600,PEQUEÑA,0,0,0,0,0,0,0,Nin
330,ICA,4663,GRANDE,0,0,0,0,0,0,0,Nin
331,ICA,4730,MEDIANA,0,0,0,0,0,0,0,Nin
332,ICA,4100,MEDIANA,0,0,0,0,0,0,0,Nin
333,ICA,4620,PEQUEÑA,0,0,0,0,0,0,0,Nin
334,ICA,1101,PEQUEÑA,1,0,0,0,0,0,0,Rob
335,ICA,4923,MICRO,0,0,0,0,0,0,0,Nin
336,ICA,4662,MEDIANA,0,0,0,0,0,0,0,Nin
337,ICA,1030,GRANDE,0,0,0,0,0,0,0,Nin
338,ICA,4661,GRANDE,0,0,0,0,0,0,0,Nin
339,ICA,4923,PEQUEÑA,0,0,0,0,0,0,0,Nin
340,ICA,4923,GRANDE,1,0,0,0,0,0,0,Rob
341,ICA,4100,PEQUEÑA,0,0,1,0,0,0,0,Ext
342,JUNÍN,7110,PEQUEÑA,1,0,0,1,0,0,0,Rob_Est
343,JUNÍN,4100,GRANDE,1,1,0,0,0,0,0,Rob_Int
344,JUNÍN,9200,PEQUEÑA,0,0,0,0,0,1,0,Ame
345,JUNÍN,1812,PEQUEÑA,0,0,0,0,0,0,0,Nin
346,JUNÍN,4719,PEQUEÑA,1,1,0,0,0,0,0,Rob_Int
347,JUNÍN,1079,GRANDE,0,0,0,0,0,0,0,Nin
348,JUNÍN,9609,MICRO,0,1,0,1,0,0,0,Int_Est
349,JUNÍN,4630,PEQUEÑA,0,0,0,0,0,0,0,Nin
350,JUNÍN,899,PEQUEÑA,0,1,0,0,0,0,0,int
351,JUNÍN,8510,MICRO,0,0,0,0,0,0,0,Nin
352,JUNÍN,4721,PEQUEÑA,0,0,0,0,0,0,0,Nin
353,JUNÍN,4661,GRANDE,0,0,0,0,0,0,0,Nin
354,JUNÍN,8530,PEQUEÑA,1,0,0,0,0,0,0,Rob
355,JUNÍN,5510,PEQUEÑA,1,0,0,1,0,0,0,Rob_Est
356,JUNÍN,4730,MEDIANA,1,0,0,1,0,0,0,Rob_Est
357,JUNÍN,7730,PEQUEÑA,0,0,0,0,0,0,0,Nin
358,JUNÍN,4663,GRANDE,0,0,0,0,0,0,0,Nin
359,JUNÍN,4921,PEQUEÑA,0,0,0,0,0,0,0,Nin
360,JUNÍN,4322,PEQUEÑA,1,0,0,0,0,0,0,Rob
361,JUNÍN,6190,PEQUEÑA,0,0,0,1,0,0,0,Est
362,JUNÍN,4663,GRANDE,0,0,0,0,0,0,0,Nin
